"filename", "language", "XML", "Lua", "Batch", "comment", "blank", "total"
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\extended_weapon_customization_base_additions.mod", "XML", 23, 0, 0, 0, 2, 25
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_autogun.lua", "Lua", 0, 10, 0, 8, 5, 23
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_autogun_braced.lua", "Lua", 0, 53, 0, 8, 5, 66
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_autogun_headhunter.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_autogun_infantry.lua", "Lua", 0, 43, 0, 8, 5, 56
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_common.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_lasgun.lua", "Lua", 0, 10, 0, 8, 5, 23
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_lasgun_helbore.lua", "Lua", 0, 48, 0, 8, 5, 61
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_lasgun_infantry.lua", "Lua", 0, 58, 0, 8, 5, 71
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\barrel_lasgun_recon.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\bayonet_common.lua", "Lua", 0, 28, 0, 8, 5, 41
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\bayonet_rippergun.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_2h_force_sword.lua", "Lua", 0, 44, 0, 8, 5, 57
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_2h_power_sword.lua", "Lua", 0, 32, 0, 8, 5, 45
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_combat_sword.lua", "Lua", 0, 56, 0, 8, 5, 69
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_falchion.lua", "Lua", 0, 50, 0, 8, 5, 63
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_force_sword.lua", "Lua", 0, 50, 0, 8, 5, 63
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser.lua", "Lua", 0, 384, 0, 50, 129, 563
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_2h_force_sword_p1_human.lua", "Lua", 0, 183, 0, 30, 13, 226
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_2h_power_sword_p1_human.lua", "Lua", 0, 184, 0, 15, 15, 214
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_chain_axe_p1_human.lua", "Lua", 0, 184, 0, 11, 15, 210
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_combat_knife_p1_human.lua", "Lua", 0, 184, 0, 15, 15, 214
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_combat_sword_p1_human.lua", "Lua", 0, 184, 0, 15, 15, 214
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_combat_sword_p2_human.lua", "Lua", 0, 184, 0, 15, 15, 214
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_combat_sword_p3_human.lua", "Lua", 0, 184, 0, 15, 15, 214
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_force_sword_p1_human.lua", "Lua", 0, 184, 0, 15, 15, 214
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_power_sword_p1_human.lua", "Lua", 0, 184, 0, 15, 15, 214
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_power_sword_p2_human.lua", "Lua", 0, 184, 0, 15, 15, 214
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\blade_laser_powermaul_shield_p1_human.lua", "Lua", 0, 180, 0, 15, 15, 210
