"filename", "language", "XML", "Lua", "Batch", "comment", "blank", "total"
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_a_var_01.lua", "Lua", 0, 26, 0, 0, 3, 29
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_a_var_02.lua", "Lua", 0, 26, 0, 0, 3, 29
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_b_var_02.lua", "Lua", 0, 12, 0, 0, 2, 14
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_book_a.lua", "Lua", 0, 12, 0, 0, 2, 14
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_book_b_candles.lua", "Lua", 0, 12, 0, 0, 2, 14
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_cadian_a_var_01.lua", "Lua", 0, 12, 0, 0, 2, 14
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_cadian_b_01_var_01.lua", "Lua", 0, 12, 0, 0, 2, 14
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_greyfax_a_var_03.lua", "Lua", 0, 12, 0, 0, 2, 14
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_psyker_c_01_var_01.lua", "Lua", 0, 26, 0, 0, 3, 29
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_psyker_c_var_01.lua", "Lua", 0, 26, 0, 0, 3, 29
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_psyker_d_var_02.lua", "Lua", 0, 26, 0, 0, 3, 29
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_psyker_e_var_01.lua", "Lua", 0, 26, 0, 0, 3, 29
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_scions_a.lua", "Lua", 0, 12, 0, 0, 2, 14
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_skulls_a_var_01.lua", "Lua", 0, 12, 0, 0, 2, 14
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_veteran_death_korps_of_krieg_a_var_02.lua", "Lua", 0, 26, 0, 0, 3, 29
