Date : 2025-11-16 11:04:25
Directory : i:\Darktide\darktide-mods\visible_equipment
Total : 141 files,  15498 codes, 1538 comments, 1031 blanks, all 18067 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Lua      |        139 |     15,475 |      1,538 |      1,029 |     18,042 |
| XML      |          1 |         22 |          0 |          2 |         24 |
| Batch    |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        141 |     15,498 |      1,538 |      1,031 |     18,067 |
| . (Files)                                                                                                                |          1 |         22 |          0 |          2 |         24 |
| scripts                                                                                                                  |        140 |     15,476 |      1,538 |      1,029 |     18,043 |
| scripts\mods                                                                                                             |        140 |     15,476 |      1,538 |      1,029 |     18,043 |
| scripts\mods\ve                                                                                                          |        140 |     15,476 |      1,538 |      1,029 |     18,043 |
| scripts\mods\ve (Files)                                                                                                  |          6 |        626 |         45 |         43 |        714 |
| scripts\mods\ve\backpacks                                                                                                |         35 |        546 |          0 |         79 |        625 |
| scripts\mods\ve\breeds                                                                                                   |          2 |        783 |         16 |          8 |        807 |
| scripts\mods\ve\extensions                                                                                               |          2 |      1,018 |        264 |        118 |      1,400 |
| scripts\mods\ve\patches                                                                                                  |         22 |      1,624 |        453 |        384 |      2,461 |
| scripts\mods\ve\templates                                                                                                |         12 |      1,215 |         97 |         45 |      1,357 |
| scripts\mods\ve\templates\animations                                                                                     |          4 |        735 |         33 |         21 |        789 |
| scripts\mods\ve\templates\offsets                                                                                        |          8 |        480 |         64 |         24 |        568 |
| scripts\mods\ve\utilities                                                                                                |         14 |      1,963 |        277 |        172 |      2,412 |
| scripts\mods\ve\weapons                                                                                                  |         47 |      7,701 |        386 |        180 |      8,267 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                 | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_a_var_01.lua                              | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_a_var_02.lua                              | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_b_var_02.lua                              | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_book_a.lua                                | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_book_b_candles.lua                        | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_cadian_a_var_01.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_cadian_b_01_var_01.lua                    | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_greyfax_a_var_03.lua                      | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_psyker_c_01_var_01.lua                    | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_psyker_c_var_01.lua                       | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_psyker_d_var_02.lua                       | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_psyker_e_var_01.lua                       | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_scions_a.lua                              | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_skulls_a_var_01.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_veteran_death_korps_of_krieg_a_var_02.lua | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_zealot_a_var_01.lua                       | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\backpack_zealot_b_var_01.lua                       | Lua      |         26 |          0 |          3 |         29 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\cadian_c_backpack_set_02.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\cadian_c_backpack_set_05.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\cadian_d_backpack_set_05.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\cadian_d_backpack_set_06.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\ogryn_backpack_01_var_01.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\ogryn_backpack_01_var_02.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\ogryn_backpack_02_var_02.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\ogryn_backpack_02_var_03.lua                       | Lua      |         12 |          0 |          2 |         14 |
| i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\backpacks\ogryn_backpack_03_var_01.lua                       | Lua      |         12 |          0 |          2 |         14 |
